agent;averageScore;buttons;c1;c2;c3;t1;t2;t3;t4;t5;t6;best;lowest
1;14,770;2,411;0,842;0,259;0,090;0,045;0,014;0,010;0,283;0,076;0,698;41;0
2;32,502;8,243;0,804;0,244;0,073;0,025;0,021;0,015;0,363;0,147;0,755;60;15
3;31,253;2,319;2,745;1,409;0,765;0,019;0,052;0,038;0,426;0,116;0,652;60;9
4;45,435;6,627;2,167;0,935;0,388;0,203;0,351;0,269;1,064;0,642;1,311;72;18
5;44,137;6,460;2,128;0,889;0,369;0,215;0,317;0,240;1,050;0,627;1,309;74;21
6;37,805;5,600;1,878;0,729;0,295;0,190;0,231;0,182;0,896;0,498;1,164;64;15
7;48,692;5,713;1,930;0,962;0,525;0,825;0,625;0,531;1,119;0,784;1,272;73;23
