tasks;basic_res;evolution_res;B;C1;C2;C3;T1;T2;T3;TA;TB;TC
1,2,3;47,955;48,635;0,90017;1,09846;0,95277;0,99499;1,00977;1,29017;0,75366;1,00977;1,29017;0,75366
1,3,2;47,567;49,210;0,85697;1,14355;0,91466;0,88895;0,83240;1,53223;0,83124;0,83240;0,83124;1,53223
2,1,3;46,799;48,240;0,88127;1,04304;1,03491;0,88155;1,38500;0,92764;0,84659;0,92764;1,38500;0,84659
2,3,1;44,505;46,590;1,00298;1,03487;0,99262;0,79507;0,82364;1,11947;1,23135;1,23135;0,82364;1,11947
3,1,2;47,253;49,060;0,74820;1,16350;1,08126;1,05548;1,29278;0,85692;0,80185;0,85692;0,80185;1,29278
3,2,1;45,326;46,395;1,05823;1,08456;1,04845;0,89757;0,91124;0,83280;1,16716;1,16716;0,83280;0,91124
