tasks;basic_res;evolution_res;B;C1;C2;C3;T1;T2;T3;TA;TB;TC
4,5,6;51,576;54,170;1,34358;1,26223;1,12305;1,05892;0,59331;0,95507;0,66384;0,59331;0,95507;0,66384
4,6,5;51,394;53,290;1,15909;1,31054;1,10419;1,06519;0,49070;0,88412;0,98616;0,49070;0,98616;0,88412
5,4,6;51,972;53,625;1,37547;1,30277;1,03043;1,08666;1,01413;0,58473;0,60582;0,58473;1,01413;0,60582
5,6,4;51,501;53,505;0,98465;1,29873;1,24779;1,08135;1,09051;0,75879;0,53820;0,53820;1,09051;0,75879
6,4,5;51,580;53,605;1,31361;1,23745;1,08831;1,04201;0,79543;0,62660;0,89659;0,62660;0,89659;0,79543
6,5,4;51,301;53,105;1,24520;1,19675;1,13776;1,10254;0,86007;0,99620;0,46147;0,46147;0,99620;0,86007
