tasks;basic_res;evolution_res;B;C1;C2;C3;T1;T2;T3;TA;TB;TC
1,4,6;52,530;53,905;1,45259;1,23961;1,10339;0,83142;1,23273;0,57713;0,56313;1,23273;0,57713;0,56313
1,6,4;52,632;53,715;0,96299;1,23573;1,11449;1,01943;1,20799;0,83967;0,61970;1,20799;0,61970;0,83967
4,1,6;52,284;53,960;1,01880;1,29616;1,14908;1,12001;0,65288;1,07383;0,68925;1,07383;0,65288;0,68925
4,6,1;51,056;52,245;1,09505;1,03206;0,96722;0,96846;0,97821;0,68924;1,26977;1,26977;0,97821;0,68924
6,1,4;51,784;52,715;0,99478;1,05951;1,20903;0,87407;0,77149;1,35869;0,73243;1,35869;0,73243;0,77149
6,4,1;50,941;51,675;0,88706;0,78655;1,23935;1,14740;1,04802;0,88274;1,00887;1,00887;0,88274;1,04802
