tasks;basic_res;evolution_res;B;C1;C2;C3;T1;T2;T3;TA;TB;TC
2,3,5;45,868;48,510;1,06163;1,18202;1,05301;1,00436;0,80613;1,06561;0,82723;0,80613;1,06561;0,82723
2,5,3;46,588;47,860;1,08559;1,11876;1,11046;1,07385;0,79591;0,83577;0,97967;0,79591;0,97967;0,83577
3,2,5;46,186;47,930;1,16544;1,13919;1,15863;1,02930;0,87921;0,93031;0,69793;0,93031;0,87921;0,69793
3,5,2;46,550;48,000;0,93222;1,20645;1,03856;0,98753;1,20380;0,77222;0,85922;0,85922;1,20380;0,77222
5,2,3;45,820;48,425;0,92599;0,95402;1,17196;0,96150;0,68804;1,14009;1,15840;1,14009;1,15840;0,68804
5,3,2;46,257;47,920;1,02178;1,09499;1,05821;1,05456;0,81295;1,18485;0,77267;0,77267;1,18485;0,81295
